,State,Year,Month,Day,Total_Cases,Total_Deaths,Total_Positives,Total_Negatives,Vaccine_Dist,Vaccine_Admin,Vaccine_Int,Vaccine_Complete,Add_Dose,Monthly Cases,Monthly Deaths,Monthly Positive,Monthly Negatives,Monthly Vaccine Completed
84,CT,2021,6,30,348528.0,8278.0,474366.0,9048287.0,4718695.0,4405405.0,2387807.0,2162465.0,0.0,2011.0,40.0,1579.0,301283.0,251802.0
85,CT,2021,7,31,353511.0,8293.0,479993.0,9310702.0,4940555.0,4592286.0,2491746.0,2256204.0,0.0,4983.0,15.0,5627.0,262415.0,93739.0
86,CT,2021,8,31,372248.0,8358.0,498609.0,9724180.0,5305485.0,4822787.0,2624686.0,2353097.0,0.0,18737.0,65.0,18616.0,413478.0,96893.0
87,CT,2021,9,30,389521.0,8629.0,514971.0,10231878.0,5614115.0,5039727.0,2717597.0,2449489.0,0.0,17273.0,271.0,16362.0,507698.0,96392.0
88,CT,2021,10,31,401759.0,8764.0,530111.0,10849473.0,6211115.0,5401889.0,2817384.0,2519770.0,246340.0,12238.0,135.0,15140.0,617595.0,70281.0
89,CT,2021,11,30,420868.0,8905.0,554233.0,11397159.0,6803905.0,5997289.0,2997942.0,2567127.0,611057.0,19109.0,141.0,24122.0,547686.0,47357.0
90,CT,2021,12,31,509364.0,9160.0,663327.0,12148233.0,7421625.0,6661686.0,3165940.0,2662379.0,1023396.0,88496.0,255.0,109094.0,751074.0,95252.0
91,DC,2020,12,31,28983.0,786.0,41589.0,1025624.0,0.0,0.0,0.0,0.0,0.0,-480381.0,-8374.0,-621738.0,-11122609.0,-2662379.0
92,DC,2021,1,31,36872.0,913.0,52593.0,1247669.0,0.0,0.0,0.0,0.0,0.0,7889.0,127.0,11004.0,222045.0,0.0
93,DC,2021,2,28,40598.0,1017.0,58041.0,1407460.0,0.0,0.0,0.0,0.0,0.0,3726.0,104.0,5448.0,159791.0,0.0
94,DC,2021,3,31,44513.0,1064.0,63058.0,1593864.0,0.0,0.0,0.0,0.0,0.0,3915.0,47.0,5017.0,186404.0,0.0
95,DC,2021,4,30,47697.0,1105.0,67334.0,1768942.0,0.0,0.0,0.0,0.0,0.0,3184.0,41.0,4276.0,175078.0,0.0
96,DC,2021,5,31,48898.0,1132.0,68979.0,1897122.0,0.0,0.0,0.0,0.0,0.0,1201.0,27.0,1645.0,128180.0,0.0
97,DC,2021,6,30,49335.0,1141.0,69539.0,1999375.0,0.0,0.0,0.0,0.0,0.0,437.0,9.0,560.0,102253.0,0.0
98,DC,2021,7,31,50398.0,1149.0,71586.0,2096751.0,0.0,0.0,0.0,0.0,0.0,1063.0,8.0,2047.0,97376.0,0.0
99,DC,2021,8,31,55431.0,1160.0,78923.0,2283577.0,0.0,0.0,0.0,0.0,0.0,5033.0,11.0,7337.0,186826.0,0.0
100,DC,2021,9,30,61153.0,1174.0,87914.0,2612954.0,0.0,0.0,0.0,0.0,0.0,5722.0,14.0,8991.0,329377.0,0.0
101,DC,2021,10,31,64240.0,1190.0,92903.0,2957049.0,0.0,0.0,0.0,0.0,0.0,3087.0,16.0,4989.0,344095.0,0.0
102,DC,2021,11,30,66912.0,1196.0,96906.0,3250528.0,0.0,0.0,0.0,0.0,0.0,2672.0,6.0,4003.0,293479.0,0.0
103,DC,2021,12,31,94286.0,1211.0,152942.0,3650171.0,0.0,0.0,0.0,0.0,0.0,27374.0,15.0,56036.0,399643.0,0.0
104,DE,2020,12,31,57456.0,926.0,71088.0,1090439.0,50775.0,9584.0,0.0,0.0,0.0,-36830.0,-285.0,-81854.0,-2559732.0,0.0
105,DE,2021,1,31,78071.0,1090.0,95222.0,1353759.0,143775.0,99954.0,0.0,0.0,0.0,20615.0,164.0,24134.0,263320.0,0.0
106,DE,2021,2,28,86799.0,1422.0,104826.0,1526712.0,291815.0,219312.0,144139.0,0.0,0.0,8728.0,332.0,9604.0,172953.0,0.0
107,DE,2021,3,31,94802.0,1559.0,112683.0,1706167.0,592965.0,463476.0,302043.0,159773.0,0.0,8003.0,137.0,7857.0,179455.0,159773.0
108,DE,2021,4,30,104405.0,1625.0,122196.0,1870286.0,976405.0,759503.0,454621.0,316204.0,0.0,9603.0,66.0,9513.0,164119.0,156431.0
109,DE,2021,5,31,108866.0,1661.0,125840.0,1982352.0,1225135.0,941707.0,533291.0,422071.0,0.0,4461.0,36.0,3644.0,112066.0,105867.0
